URL,443
https://vs.facebook.com,X,
https://touch.facebook.com,X,
https://gl.facebook.com,X,
https://east.facebook.com,X,
https://tcs.facebook.com,X,
https://michael.facebook.com,X,
https://zoom.facebook.com,X,
https://www.c.facebook.com,X,
https://iso.facebook.com,X,
https://cultura.facebook.com,X,
https://nn.facebook.com,X,
https://no.facebook.com,X,
https://saga.facebook.com,X,
https://hu.facebook.com,X,
https://samsung.facebook.com,X,
https://nb.facebook.com,X,
https://compass.facebook.com,X,
https://developers.facebook.com,X,
https://demo7.facebook.com,X,
https://housing.facebook.com,X,
https://sia.facebook.com,X,
https://impact.facebook.com,X,
https://imagine.facebook.com,X,
https://cruise.facebook.com,X,
https://canvas.facebook.com,X,
https://graph.facebook.com,X,
https://pages.facebook.com,X,
https://developers.c10r.facebook.com,X,
https://siemens.facebook.com,X,
https://microsoft.facebook.com,X,
https://yx.facebook.com,X,
https://care.facebook.com,X,
https://ais.facebook.com,X,
https://ig.facebook.com,X,
https://apex.facebook.com,X,
https://lds.facebook.com,X,
https://ja.facebook.com,X,
https://imc.facebook.com,X,
https://extern.facebook.com,X,
https://opensource.facebook.com,X,
https://lithium.facebook.com,X,
https://sophia.facebook.com,X,
https://premier.facebook.com,X,
https://pioneer.facebook.com,X,
https://ko.facebook.com,X,
https://postmaster.facebook.com,X,
https://tempo.facebook.com,X,
https://informatica.facebook.com,X,
https://loco.facebook.com,X,
https://photon.facebook.com,X,
https://ibm.facebook.com,X,
https://sanantonio.facebook.com,X,
https://aps.facebook.com,X,
https://bloom.facebook.com,X,
https://faith.facebook.com,X,
https://move.facebook.com,X,
https://betty.facebook.com,X,
https://webdisk.admin.new.facebook.com,X,
https://error.secure.facebook.com,X,
https://admin-www.c.facebook.com,X,
https://developer.secure.facebook.com,X,
https://wwwadmin.secure.facebook.com,X,
https://autodiscover-secure.beta.facebook.com,X,
https://google.secure.facebook.com,X,
https://autoconfigmanagement.secure.facebook.com,X,
https://secret.beta.facebook.com,X,
https://backupautoconfig.new.facebook.com,X,
https://admin.autoconfig.secure.facebook.com,X,
https://autoconfigprivileged.new.facebook.com,X,
